id,name,started_on,finished_on,cycle_time,finished_on_week
703,US95 - Añadir trámites al seed de los datos de demo,2017-03-22 14:54:06 UTC,2017-03-23 12:33:48 UTC,77982.516,12 - 2017
692,US95 - Cuando selecciono un tramite del listado se muestra el mensaje en la conversación del asunto,2017-03-20 08:45:13 UTC,2017-03-23 12:33:45 UTC,272911.821,12 - 2017
706,US82 - Ver una publicación de texto,2017-03-22 16:26:03 UTC,2017-03-22 18:11:51 UTC,6348.047,12 - 2017
690,US94 - Componente para seleccionar tramite de una lista,2017-03-21 15:40:31 UTC,2017-03-23 10:41:55 UTC,154884.131,12 - 2017
685,Mostrar la geoposición en el sidebar de una issue cuando esté geolocalizado,2017-03-17 17:58:23 UTC,2017-03-22 12:51:36 UTC,413593.171,12 - 2017
701,US89 - Crear el componente de creación de publicaciones,2017-03-20 12:14:36 UTC,2017-03-22 12:18:34 UTC,173037.864,12 - 2017
702,US89 - Adjuntar archivos en la creación de una publicación,2017-03-21 15:39:05 UTC,2017-03-21 15:40:24 UTC,78.221,12 - 2017
704,US95 - Visualizar el mensaje de un trámite,2017-03-21 15:06:27 UTC,2017-03-21 15:35:52 UTC,1764.731,12 - 2017
700,US93 - Mostrar el estado nuevo como disabled,2017-03-20 08:17:48 UTC,2017-03-20 08:26:29 UTC,520.964,12 - 2017
694,US77 - Crear página por defecto que sustituya al dashboard de canales,2017-03-17 17:56:17 UTC,2017-03-17 17:57:50 UTC,92.617,11 - 2017
691,"US95 - Maquetar el tipo de mensaje ""Tramite""",2017-03-17 17:06:14 UTC,2017-03-17 17:44:45 UTC,2310.695,11 - 2017
689,US94 - Maquetar el formato de la lista de trámites,2017-03-17 16:19:07 UTC,2017-03-17 17:06:01 UTC,2813.897,11 - 2017
695,US80 - COMO agente QUIERO ver los metadatos de un canal,2017-03-15 12:09:09 UTC,2017-03-17 13:37:20 UTC,178091.097,11 - 2017
677,US73 - Subida de imagen de portada de nuevo canal,2017-03-08 17:59:31 UTC,2017-03-15 18:11:32 UTC,605520.745,11 - 2017
696,US73 - Utilizar componente lista de adjuntos en la creación de canal,2017-03-15 15:11:07 UTC,2017-03-15 16:59:27 UTC,6500.358,11 - 2017
678,US73 - Extraer componente para la lista de adjuntos,2017-03-13 14:40:29 UTC,2017-03-15 15:11:03 UTC,174633.315,11 - 2017
322,"Hacer las páginas de error html (404, 503 y Mantenimiento)",2017-01-20 11:15:54 UTC,2017-03-15 12:16:09 UTC,4669215.4,11 - 2017
693,US77 - COMO agente QUIERO ver los Canales a los que tengo acceso,2017-03-14 18:19:28 UTC,2017-03-15 12:09:09 UTC,64180.542,11 - 2017
688,"US93 - En la lista de asuntos, poder filtrar por estado ""nuevo""",2017-03-14 17:18:46 UTC,2017-03-14 17:31:58 UTC,792.226,11 - 2017
684,"US93 - Eliminar visibilidad de estado de ""Nuevo"" (selector de cambio de estado en detalle de asunto)",2017-03-14 17:08:52 UTC,2017-03-14 17:18:43 UTC,591.128,11 - 2017
687,"US93 - Mostrar Indicador para asunto en estado ""nuevo"", visible en la lista de asuntos",2017-03-14 16:19:17 UTC,2017-03-14 17:13:33 UTC,3255.766,11 - 2017
228,Todos los selects deben tener un option con selected por defecto,2016-06-29 14:22:10 UTC,2017-03-14 11:08:01 UTC,22279551.025,11 - 2017
513,"US46 - Al hacer cambios en el detalle de un asunto y si da un error de servidor, debe mostrarse un toast además del icono de warning,",2017-03-13 18:00:08 UTC,2017-03-13 18:47:08 UTC,2820.547,11 - 2017
673,US73 - El administrador puede crear un nuevo canal,2017-03-08 16:21:52 UTC,2017-03-14 16:58:47 UTC,520614.65,11 - 2017
682,No se pueden eliminar los recordatorios de algunos asuntos (887 en demo),2017-03-13 15:21:42 UTC,2017-03-13 16:03:34 UTC,2512.174,11 - 2017
608,Cambiar icono y título del menú de qlik (cuadro de mando) y añadir un submenú en el sidebar,2017-02-13 18:52:32 UTC,2017-02-13 18:52:45 UTC,13.679,07 - 2017
563,Cambiar los id de autoincrement a UUIDs,2017-01-26 08:44:19 UTC,2017-02-01 12:27:31 UTC,531791.595,05 - 2017
577,Spike: fake del servicio http para que trabaje con listas de objetos en localStorage,2017-01-29 17:32:35 UTC,2017-01-29 17:36:54 UTC,259.494,04 - 2017
602,US55 - Añadir y mostrar mensajes de tipo geolocalización,2017-02-11 11:09:31 UTC,2017-02-11 16:30:42 UTC,19271.585,06 - 2017
601,US58 - Añadir y mostrar mensajes de tipo destacado,2017-02-10 19:11:04 UTC,2017-02-11 11:06:11 UTC,57306.694,06 - 2017
600,US56 - Añadir y mostrar mensajes de tipo video de youtube y vimeo,2017-02-10 19:08:33 UTC,2017-02-10 19:08:40 UTC,7.556,06 - 2017
569,US47- Integrar librerias integración Qlik Sense en el WebPack,2017-02-01 13:03:46 UTC,2017-02-10 12:20:56 UTC,775030.245,06 - 2017
599,US58 - UI del mensaje tipo destacado,2017-02-10 08:53:14 UTC,2017-02-10 09:57:19 UTC,3844.452,06 - 2017
598,US57 - UI de mensaje tipo audio,2017-02-09 18:28:55 UTC,2017-02-09 18:32:04 UTC,188.883,06 - 2017
597,US56 - UI de mensaje tipo video,2017-02-09 17:46:58 UTC,2017-02-09 17:53:49 UTC,411.203,06 - 2017
596,US55 - UI de mensaje tipo geolocalización,2017-02-09 17:11:56 UTC,2017-02-09 17:27:36 UTC,940.753,06 - 2017
573,US49 - Editar una lista existente,2017-01-27 16:53:07 UTC,2017-02-07 13:15:13 UTC,937325.897,06 - 2017
584,US49 - Modificar el componente de creación/edición de listas,2017-02-06 16:40:54 UTC,2017-02-07 13:14:11 UTC,73997.133,06 - 2017
585,US47 - Solucionar tamaño de menu pequeño en el template de página de Qlik,2017-02-07 11:48:48 UTC,2017-02-07 13:12:11 UTC,5002.767,06 - 2017
582,Listas de asuntos: Mostrar id corto en asunto relacionado,2017-02-03 12:03:56 +0100,2017-02-07 12:17:44 UTC,350028.874,06 - 2017
583,Sidebar: La capa de notification-band tapa los eventos de click debajo suyo,2017-02-06 12:46:01 +0100,2017-02-07 11:00:09 UTC,83648.632,06 - 2017
581,US53 - Crear el componente para mostrar las personas asociadas a una lista,2017-02-02 17:45:15 UTC,2017-02-06 16:27:14 UTC,340918.962,06 - 2017
503,US44 - Interacción de búsqueda en el frontend con un botón de buscar para el listado de personas,2017-01-18 11:26:35 UTC,2017-02-07 10:21:37 UTC,1724101.974,06 - 2017
565,US48 - UX de los nuevos campos de personas,2017-02-03 10:45:12 UTC,2017-02-07 09:39:54 UTC,341681.236,06 - 2017
580,US52 - Implementar el sidebar de listas en el módulo de personas,2017-02-02 16:05:22 UTC,2017-02-02 16:46:12 UTC,2450.114,05 - 2017
578,Automatizar la creación de ficheros de componente,2017-02-01 08:34:12 UTC,2017-02-01 10:07:06 UTC,5573.829,05 - 2017
572,US49 - Crear nueva lista con nombre,2017-01-27 16:52:46 UTC,2017-01-31 18:32:10 UTC,351563.681,05 - 2017
554,U3 - Truncar los títulos en el listado de respuestas predefinidas,2017-01-20 11:26:06 UTC,2017-01-31 18:23:04 UTC,975417.781,05 - 2017
551,"Listado de asuntos y edición en lote: Tras cerrar la modal de edición en lote, salen los asuntos repetidos",2017-01-31 11:04:59 UTC,2017-01-31 16:37:19 UTC,19940.026,05 - 2017
575,US49 - Ver listas de personas ya creadas,2017-01-27 16:55:42 UTC,2017-01-29 17:41:24 UTC,175541.785,04 - 2017
469,"Revisión de mensajes de error: colores, tipos, posición…",2017-01-20 08:58:37 UTC,2017-01-30 11:18:23 UTC,872386.64,05 - 2017
644,Listados personas > Hacer que los emails queden truncados en la lista,2017-02-24 12:14:16 UTC,2017-02-24 12:16:35 UTC,139.392,08 - 2017
642,Error 401 aleatorio en frontend,2017-02-24 09:13:06 UTC,2017-02-24 09:37:53 UTC,1486.937,08 - 2017
